feature,feature_label,mean_of_mean_abs_shap,std_of_mean_abs_shap,median_of_mean_abs_shap,top1_count,top3_count,top5_count,top10_count,avg_rank,best_rank,worst_rank,splits_present
ret_std_60,60-day return volatility,0.014962984805789297,0.021770703986012906,0.007837255075569208,4,7,10,16,12.088235294117647,1,25,34
mom_10,10-day momentum,0.012251746553848808,0.008693922344422253,0.009385434252876766,4,6,9,22,8.882352941176471,1,20,34
macd_signal_9,MACD signal (9),0.011984869837025746,0.007619557581388436,0.009892536009680103,3,8,11,18,9.5,1,21,34
ret_std_20,20-day return volatility,0.012802646031831415,0.013645154402987946,0.008678678279020517,3,7,10,17,10.764705882352942,1,24,34
ret_mean_60,60-day average return,0.011125936082383816,0.006720579228761225,0.010101371296307077,3,7,11,15,10.529411764705882,1,22,34
rsi_14,14-day RSI,0.010568859970027513,0.005224199437896216,0.00930898272663955,3,6,10,19,9.558823529411764,1,22,34
mom_60,60-day momentum,0.011577313337526244,0.0075998626478890954,0.009479725753041835,2,6,11,16,10.529411764705882,1,22,34
macd_12_26,"MACD (12, 26)",0.010845298141764962,0.0059802294014395935,0.009869141230916999,2,5,9,20,10.323529411764707,1,24,34
mom_5,5-day momentum,0.011652400260887296,0.009178522070540096,0.009072681661072465,2,4,7,14,11.294117647058824,1,20,34
ret_mean_10,10-day average return,0.012966708758477823,0.008233858777887964,0.010687727564001239,1,9,16,24,7.382352941176471,1,21,34
mom_20,20-day momentum,0.012285896433295107,0.007270994270806025,0.010863273103115325,1,7,11,21,8.676470588235293,1,19,34
ret_std_10,10-day return volatility,0.0121297417458538,0.011307647183188939,0.007957329536330219,1,6,7,19,11.029411764705882,1,21,34
ret_mean_20,20-day average return,0.011602147372900941,0.007411916636290462,0.009867654706119349,1,5,9,21,9.794117647058824,1,23,34
log_return_1,1-day log return,0.011028390006641606,0.007374772375278712,0.009071541687988483,1,4,9,16,10.970588235294118,1,20,34
ret_mean_5,5-day average return,0.010409970543489282,0.006098422982694867,0.009514696624739617,1,3,5,16,11.529411764705882,1,23,34
volume_chg,Volume change,0.28261734096862806,1.615071423574555,0.005207299361050609,1,2,3,6,18.08823529411765,1,25,34
ret_std_5,5-day return volatility,0.01059514875294487,0.008817339377944693,0.00835604198314299,1,1,5,12,12.794117647058824,1,22,34
macd_hist,MACD histogram,0.010317503817279217,0.007375536316840047,0.007787733836867485,0,3,7,14,12.205882352941176,2,23,34
simple_return_1,1-day simple return,0.009949643268022874,0.005735387444071022,0.008624563702376992,0,2,5,11,12.382352941176471,3,20,34
volume_roll_mean_20,20-day average volume,0.008975311167994326,0.00486866556498463,0.007857462786090532,0,2,3,14,13.088235294117647,2,23,34
volume,Trading volume,0.00867173089064711,0.005539926303899186,0.006975218650741673,0,2,2,6,15.117647058823529,3,23,34
ticker_TLT,Asset indicator: TLT,0.005125700555152012,0.002510202089733628,0.0044302934876198925,0,0,0,1,21.61764705882353,7,25,34
ticker_SPY,Asset indicator: SPY,0.005086634331160747,0.00267808187628872,0.0047215888581138375,0,0,0,1,21.676470588235293,10,25,34
ticker_IWM,Asset indicator: IWM,0.004797901338210664,0.0024010845633818875,0.004462590537007257,0,0,0,1,22.176470588235293,6,25,34
ticker_EFA,Asset indicator: EFA,0.0044322925963956455,0.002363575180846164,0.003791316449522089,0,0,0,0,23.0,11,25,34
